epoch,train_loss,test_loss,test_accuracy
1,0.2010988298801582,0.08192422073334456,97.55
2,0.0813862069530774,0.09218783527612687,96.94
3,0.057541934464043425,0.0709577625617385,97.84
4,0.04888216380180338,0.06559809790924191,98.04
5,0.04092132419867536,0.06122586196288467,98.42
6,0.03228972905358525,0.05572918802499771,98.36
7,0.02932613492264588,0.05123106823302805,98.59
8,0.02536831083832087,0.05823995699174702,98.36
9,0.024441630902760567,0.05375768467783928,98.39
10,0.022018589541108583,0.06294529773294925,98.49
